ts	phase	decision	why	evidence	result
2026-09-14T17:31:40Z	verify	80K C=2 #0 produced 40 decode tokens during #1 prefill	banner chunk on size=2048; TTFT 41.72s/83.66s; common window 66.17 tok/s graphs off; sha256 ea2857f4; 40 tokens = one yield per 2048 of #1	80k-c2-yield-40	tests green
2026-09-14T17:36:00Z	implement	later-in-batch leftover-1 returns 0 instead of seqLen=1	absorb ran before leftover clamp so a 2049 second in a 4096 batch could still look like decode	SelectPrefillChunkLen leftover-1 after clamp	open
2026-09-14T17:40:00Z	verify	8K C=4 greedy on RunNewMainLoop	banner chunk on size=2048; TTFT 3.16s/12.93s; before last TTFT 12/8/4/0; common window 119.62 tok/s graphs off; sha256 874972b7	8k-c4-yield-12-8-4-0	tests green
2026-09-14T17:53:56Z	ground	Qwen35MTPLoop is the production long-prefill path	auto FASTLLM_GPU_TOKEN_HANDOFF=1 selects UseModelSpecificScheduler; MTPLoop prefers prefill whenever canAddPrefill and has no decode yield	/tmp/arena-mtploop-chunk/grounding/mtploop-prefill.md	open
2026-09-14T18:12:53Z	sketch	picked graft remaining-count plus yield into Qwen35MTPLoop	RunNewMainLoop has no GPU token handoff so reroute drops that path; shared session kernel rewrites both loops; no-MTP handoff only so MTP/DFlash keep inner-split seed	/tmp/arena-mtploop-chunk/synthesis.md	open
2026-09-14T18:15:13Z	implement	grafted remaining-count plus yield into Qwen35MTPLoop	no-MTP handoff only; ClassifyRequest census; arm on admit; PrefixRestoreAllowed; CommitIntermediatePrefillChunk; yield latch; skip mid-prompt record	src/models/qwen3_5.cpp+include/models/longPrefillChunk.h	open
2026-09-14T18:21:15Z	verify	8K C=2 greedy on auto-handoff	handoff=on; banner chunk on size=2048; #0 before last TTFT=4; sha256 0e75bdf6 matches env=0; TTFT 3.19s/6.44s; common window 83.37 tok/s graphs off	8k-c2-auto-handoff-yield-4	ok
2026-09-14T18:26:11Z	verify	80K C=2 on default auto-handoff Qwen35MTPLoop	banner scheduler=Qwen35MTPLoop chunk on size=2048; handoff=on; #0 before last TTFT=40; TTFT 40.96s/82.90s; common window 66.77 tok/s graphs off; sha256 ea2857f4 matches RunNewMainLoop 80K	80k-c2-auto-handoff-yield-40	ok
2026-09-14T18:30:20Z	verify	8K C=1 graph-on QPN2-off survived warmup	cuda_graph=on handoff=on; banner scheduler=Qwen35MTPLoop; decode 65.02 tok/s; leftover N-pad crash is QPN2 not graph	8k-c1-graph-on-qpn2-off	ok
2026-09-14T18:36:00Z	verify	80K C=1 graph-on QPN2-off on Qwen35MTPLoop	prefill 1996.83 vs plan 1971; decode 56.48 vs plan 61.16; TTFT 41.03s; sha256 9bb0aa71 from spill b8ae9a6c; banner scheduler=Qwen35MTPLoop	80k-c1-graph-on-decode-56.48	open
2026-09-14T18:36:58Z	verify	80K C=2 graph-on QPN2-off on Qwen35MTPLoop	banner scheduler=Qwen35MTPLoop; handoff=on graph=on; #0 before last TTFT=40; TTFT 41.02s/82.81s; common window 75.83 vs plan 108.46; sha256 ea2857f4	80k-c2-graph-on-yield-40	open
2026-09-14T18:40:58Z	verify	80K C=1 graph-on chunking off control	banner chunk off scheduler=Qwen35MTPLoop; prefill 1992.40 vs chunk-on 1996.83; decode 56.64 vs chunk-on 56.48 so 61.16 miss is tree not scheduler; sha256 9bb0aa71 matches chunk-on spill	80k-c1-graph-on-chunk-off-decode-56.64	ok
2026-09-14T18:53:26Z	verify	8K C=4 graph-on QPN2-off on Qwen35MTPLoop	banner scheduler=Qwen35MTPLoop; before last TTFT 12/8/4/0; common window 129.27 tok/s; sha256 874972b7 matches graphs-off C=4	8k-c4-graph-on-yield-12-8-4-0	ok
2026-09-14T18:59:13Z	verify	80K C=2 graph-on chunk 4096	banner size=4096 limit=4096; #0 before last TTFT=20; TTFT 38.96s/78.34s; common window 77.22 vs 2048-chunk 75.83; sha256 ea2857f4; two 4096 still cannot share a batch	80k-c2-chunk-4096-yield-20	open
2026-09-14T23:58:44Z	decide	rejected raising GetBatchedPrefillTokenLimit	round 2+ linear KV non-empty makes canRunFusedBatchPrefill reject fusion (qwen3_5.cpp:15393-15401) and ForwardGPU falls to runSplitBatchForward sequential per-row (15303-15341); so a 4096 budget co-batches round 1 only, then TTFT #0 41->~80s, yield 40->0, TTFT #1 only ~80s	plan PR-B closed as dead-end, PR-C = mixed batch or fused continued-prefill kernel	ok
2026-09-15T00:31:00Z	verify	80K C=2 chunk off zero-yield control in current tree	common window 78.35 (6.50s window, 509 tok, per-request 39.32/39.25), TTFT 41.01/82.10, sha256 ea2857f4 same as chunk-on; yield cost is only -2.5 (78.35 -> 75.83), remaining -30 is batch-2 decode rate 39.3 vs baseline-doc 54.23 (QPN2-on era)	/tmp/80k-c2-chunk-off-control.log	ok
2026-09-15T00:33:00Z	decide	remaining numeric gates re-based as kernel-rate gates	TTFT#1 is FLOPs conservation (163840/1996.83=82.05 vs 82.81; baseline 163840/1958.80=83.65 vs 83.09); 108.46 unreachable even at zero yield in this tree; PR-C both shapes cannot move them, mixed batch lowers the aggregate by window definition; plan 5.1/3/7/9 amended accordingly	docs/sm70_long_prefill_chunk_plan.md	ok
2026-09-15T01:05:00Z	fix	repairs stale §8 forensic anchors and §5.2 capacity refs	line refs drifted off code after grafts; re-verified each anchor against current basellm.cpp/qwen3_5.cpp and re-ran both regression tests PASS; compactBlock region 4356-4364 confirmed diff-untouched	docs/sm70_long_prefill_chunk_plan.md	ok
2026-09-15T10:45:00Z	decide	QPN2-on assumption flips: no longer crashes, both gates reachable	re-ran default (QPN2 on) 8K C=1/C=2: warmup 3 graph shapes all pass, exit 0, no fallback log; root cause is the three A-unit hardenings now in the binary (warmup-time sidecar prebuild so no cudaMalloc inside capture, FastllmCudaGraphIsCapturingFast guard, nvfp4Qpn2Wanted non-destructive fallback); qpn2 .o rebuilt 23:16, after yesterday's 18:xx crash run	/tmp/qpn2on_repro_8k_c1.log /tmp/qpn2on_repro_8k_c2.log	ok
2026-09-15T10:50:00Z	verify	QPN2 and AR benefits measured as same-binary A/B	QPN2 on/off 8K C=1 79.47 vs 65.29 (+21.7%), 8K C=2 153.70 vs 96.81 (+58.8%), C=1 prefill 2569.83 vs 2577.50 (-0.3%); AR auto vs off (QPN2 on) 8K C=1 79.47 vs 72.84 (+9.1%), 80K C=1 67.18 vs 62.53 (+7.4%), 8K C=2 153.70 vs 143.28 (+7.3%); sha identical within each pair; dequant cost is M-independent so QPN2 gain widens with batch	/tmp/qpn2on_acceptance.log /tmp/qpn2on_final_batch.log	ok
2026-09-15T10:55:00Z	decide	the two previously-unreachable gates are unlocked	80K C=1 decode 67.18 >= 61.16 and 80K C=2 common window 110.10 >= 108.46 with yield 40 retained; 108.46/61.16 were QPN2-off-era kernel rates; plan 3/5.1/7/9 amended with dated corrections rather than silent rewrites	docs/sm70_long_prefill_chunk_plan.md	ok
2026-09-15T11:00:00Z	fix	disclose a sha-anchor drift my own prior completion claim missed	binary was rebuilt 23:16-01:59 (qpn2/allreduce/qwen3_5/basellm .o) plus relinked 10:11, AFTER the 0e75bdf6 measurement (yesterday 18:21); 8K C=2 sha drifted 0e75bdf6 -> 5bfaac89, 8K C=4 874972b7 -> 5b633030, while 80K C=2 stayed ea2857f4 across both; C unit proven sha-preserving (chunk on==off 5bfaac89 same binary); A and B both remain suspects, attribution needs trunk-vs-head A/B; prior claim "sha unchanged" was partly an old-binary anchor	git show HEAD:docs/sm70_long_prefill_chunk_plan.md + object mtimes in build-sm70-tests/CMakeFiles	ok
2026-09-15T11:05:00Z	write	landing plan written with per-unit benefit table and per-unit commit stack	docs/sm70_npad_ar_chunk_landing_plan.md: 3 PR sections (C then B then A), 3 rollback switches, 30 live lanes, benefit table split by unit with same-binary vs cross-binary labels, sha drift disclosed not hidden; check-plan.mjs reports 3 PR sections, 0 problems	docs/sm70_npad_ar_chunk_landing_plan.md	ok
2026-09-15T11:10:00Z	lesson	shared-box OOM and Xid 31: verify all four GPUs idle before any benchmark	this 4xV100 box is multi-tenant; starting benchmarks while a co-tenant held ~14GB caused weight-load OOM (gpuFree 1-2GB), killed processes, and teardown produced Xid 31 MMU faults on GPU1/GPU3; all four GPUs verified clean afterwards; all GPU runs stopped as a precaution; V1-V4 queued behind an idle-four-GPU precondition, never run concurrently; OOM-run results voided, not used as evidence	/var/log/dmesg + nvidia-smi	ok
2026-09-15T11:15:00Z	verify	the three units landed as three separate commits in the planned order	9647b3bd (C, 10:34), fa0b6030 (B, 10:34), 08cfe5c4 (A, 10:35), then fd226eb2 (docs, 10:36); each commit's file list matches the plan Stage line for line; qwen3_5.cpp hunks are disjoint by commit (A 9685-9727, B 3423-15050, C 8 + 21341-23672); worktree source has no remaining uncommitted change	git show --stat 9647b3bd fa0b6030 08cfe5c4; git status --short	ok
2026-09-15T11:20:00Z	fix	plan-embedded file:line anchors had drifted; re-verified all against the committed tree	7 refs corrected (basellm.cpp banner 1645->1664, IntermediatePrefillGuard 46->50, prefillRemaining 1349/501->1367/517, ClassifyRequest 1718->1743, qwen3_5.cpp C gate 21329->21394, A hunk 9683->9685 +42->43 lines, MTPLoop 22024-23724->21341-23672); every anchor re-confirmed by sed against the committed code; plan premise updated from "15 uncommitted files" to "three commits landed"	docs/sm70_npad_ar_chunk_landing_plan.md	ok
2026-09-15T11:22:00Z	verify	both C-unit regression tests PASS on the committed tree	longPrefillChunkAlgebra and fillLlmInputsPrefillChunkRegression both exit 0 with "PASS:" line, built from the current committed source	build-sm70-tests/longPrefillChunkAlgebra build-sm70-tests/fillLlmInputsPrefillChunkRegression	ok
2026-09-15T13:05:00Z	review	CORRECTION, and it retracts my own prior row: the "C>=2 sha drift" does not exist; it was an output_tokens mismatch	_token_stream_hash (tools/fastllm_pytools/benchmark.py:11) hashes ALL generated token ids, so different lengths must differ. Aligning every anchor with its output_tokens: out=64 -> 8K C=1 b960451a, C=2 0e75bdf6 (5 runs), C=4 874972b7 (2 runs); out=256 -> 8K C=1 02c702ca, C=2 5bfaac89, C=4 5b633030. The pair I called "drift" was out=64 (yesterday) vs out=256 (today). Length-aligned cross-binary invariance holds: 9bb0aa71 (80K C=1 out=256) spans 09-14 17:34 and 09-15 09:34; ea2857f4 (80K C=2 out=256) spans 09-14 17:30 and 09-15 09:08	/tmp/ar_pingpong_decode.log (out=64 b960451a) vs /tmp/ar_pingpong_decode_128.log (out=128 d5fcc5fc), same binary same shape 09-14 23:57/23:58; spill job_output files for the out=64 anchors	ok
2026-09-15T13:06:00Z	fix	rewrote landing plan Appendix E and removed the A/B suspect framing everywhere	retracted the drift disclosure, re-based the sha gate on length alignment, replaced V1 (trunk-vs-head bisect) with a single cheap run (8K C=2 --output_tokens 64 expecting 0e75bdf6), fixed PR2/PR3 Depends-on and both Review gates, fixed the risk table row, and added V5 for the QPN2 sidecar alloc fallback seen under memory pressure	docs/sm70_npad_ar_chunk_landing_plan.md Appendix E/F, PR2, PR3, Appendix A, risk table; docs/sm70_long_prefill_chunk_plan.md 5.1 sha row	ok
2026-09-15T13:07:00Z	experiment	QPN2 sidecar build can silently fall back under memory pressure	sha_pin.log (out=64, 8K C=4, under a co-tenant) logged 4x "Fastllm SM70 NVFP4 QPN2 sidecar alloc failed (K=5120 N=8704 bytes=25067520); this weight stays on the native dequant path", then died OOM. The fallback is by design (fastllm-linear-fp8.cu:3640) but it means QPN2-on perf numbers silently degrade to QPN2-off when memory is tight, so each run must grep for that line to prove QPN2 was really on	/tmp/sha_pin.log; src/devices/cuda/linear/fastllm-linear-fp8.cu:3640	open
2026-09-15T13:01:00Z	verify	V1 confirmed: 8K C=2 out=64 on the current binary reproduces 0e75bdf6 byte-for-byte	sha256 = 0e75bdf66285415a0df02f6857f18975ffd1070036e1ace3e5ed2d273cde6036 (all 64 hex chars) identical to yesterday's out=64 anchor; so the "C>=2 sha drift" was purely an output_tokens mismatch, not a code change. Run also showed 0 sidecar-alloc-failure lines and 0 native-dequant fallbacks, so QPN2 was genuinely on. common window 156.79 tok/s	/tmp/v1_8k_c2_out64.log	ok
2026-09-15T13:10:00Z	lesson	a second actor is editing this shared repo and binary concurrently, so evidence must record its binary	between my V1 run (log 13:00:49, sha 0e75bdf6 hit) and my next check, src/models/qwen3_5.cpp gained 42 lines (env-gated FASTLLM_BATCH_DECODE_DEBUG diagnostics in canRunFusedBatchDecode, no numeric path) and libfastllm_tools.so was relinked at 13:00:59; a sibling process (PPID 1181117) is running its own 8K C=2 A/B. The change is diagnostics-only so V1 still holds (it ran against the pre-relink binary and matched a yesterday anchor anyway), but from now on any perf/sha claim must name the .so mtime it was measured against	git diff src/models/qwen3_5.cpp; stat build-sm70-tests/libfastllm_tools.so; ps -eo pid,ppid,cmd	open
2026-09-15T13:12:00Z	lesson	my own V2 attempts OOM'd from a too-large --tokens, not from contention	two 8K C=4 attempts (--tokens 167936 then 40960) both OOM'd at weight load with gpuFree ~11MB while nvidia-smi showed the GPUs otherwise free; the KV budget for batch 4 was oversized. Recorded so the next attempt right-sizes it instead of blaming the co-tenant	/tmp/v2_8k_c4_out64.log /tmp/v2b_8k_c4_out64.log	open
2026-09-15T13:20:00Z	fix	encode the lesson in structure: the sha line now self-describes its token counts	_token_stream_hash covers every generated token id, so a digest is only comparable at equal token counts. Edited tools/fastllm_pytools/benchmark.py:417 so the Reproducibility line prints "Token stream sha256 <digest> (tokens/request: N,M)" - the phantom "drift" cannot recur silently. Verified CPU-only by loading the edited source and invoking _print_result on a synthetic 2-request result: printed '0e75bdf6...6036 (tokens/request: 64,40)', assertion passed. NOT yet installed into build-sm70-tests/tools/ftllm/ (that copy still has the old format until the tools target is rebuilt)	tools/fastllm_pytools/benchmark.py:417; synthetic _print_result call	ok
2026-09-15T13:21:00Z	fix	corrected my own suspicion that the installed benchmark.py was stale	I briefly suspected the build-sm70-tests/tools copy was stale; diffing it against source showed the ONLY difference is my 9-line edit just made, so installed == pre-edit source and every earlier run used the right script. The KeyErrors I hit were from my incomplete synthetic dict, not from a stale copy	diff build-sm70-tests/tools/ftllm/benchmark.py tools/fastllm_pytools/benchmark.py	ok
2026-09-15T13:30:00Z	blocked	V2 (8K C=4 out=64 -> expect 874972b7) could not be completed this round: 3 attempts all OOM at engine warmup	attempt configs: --tokens 167936 (too large a KV budget for batch 4), --tokens 40960 (same), no --tokens + QPN2 off (fits further but still OOMs allocating 48MB with gpuFree ~19-33MB). nvidia-smi showed the four GPUs otherwise idle at launch, so this is memory headroom, not a co-tenant. 8K C=4 needs a smaller --tokens than the C=1/C=2 recipe. Not a code problem: C=2 out=64 already reproduced 0e75bdf6 byte-for-byte (V1), and C=4 uses the same code path	/tmp/v2_8k_c4_out64.log /tmp/v2b_8k_c4_out64.log /tmp/v2c_8k_c4_out64.log /tmp/v2d_8k_c4_out64.log /tmp/v2e_8k_c4_out64.log	blocked
2026-09-15T13:40:00Z	verify	V2 confirmed: 8K C=4 out=64 on the current binary reproduces 874972b7 byte-for-byte	sha256 = 874972b70407fc52cf40d4ecf6a7528294c7d598569f812c6e4fce4c586faa3a, all 64 hex chars identical to yesterday's out=64 C=4 anchor. common window 253.21 tok/s, before-last-TTFT still yields (228 tokens in window). 0 sidecar-alloc failures. Together with V1 (C=2 -> 0e75bdf6) both 8K shapes are now proven cross-binary invariant at matched token counts, so the code never drifted	/tmp/v2f_8k_c4_out64.log	ok
2026-09-15T13:41:00Z	fix	the V2 OOMs were my --tokens budget, and the fix is that C=4 needs ~49k not 167936	3 earlier attempts (--tokens 167936 / 40960 / default) all OOM'd during/after warmup allocating 48MB with gpuFree ~19-33MB; retrying with --tokens 49152 (sized to 4 x 8K plus headroom, not the 163840-token C=2 recipe) completed. Lesson recorded: the shared --tokens 167936 in my boot recipe is a C=1/C=2 value and must be cut for larger batches	/tmp/v2f_8k_c4_out64.log vs /tmp/v2e_8k_c4_out64.log	ok
2026-09-15T13:55:00Z	verify	V3 measured: 80K C=1 QPN2-on memory, per-second nvidia-smi sampling	for the whole run: steady-state plateau 14949 MiB on GPU0 (14871 on GPU1-3) held from t=40s to t=85s, i.e. headroom 1435 MiB (1.40 GiB) against 16384 MiB; transient peak 16113 MiB (GPU0) at t=53-56s during the warmup/capture window, i.e. headroom only 271 MiB (0.26 GiB). All four cards rose and fell together, so it is my run, not a co-tenant. sha256 9bb0aa71 (matches the 80K C=1 anchor), exit 0	/tmp/v3_mem_samples.txt /tmp/v3_80k_c1_mem.log	ok
2026-09-15T13:56:00Z	fix	the figure 14949 was right but I had mislabeled it "peak"; and the headroom I wrote was wrong both ways	I had written "nvidia-smi 峰值 <= 14.95/16 GB, 余 1.05 GB (今日实测 14949 MiB)". Measured: 14949 MiB is the STEADY PLATEAU, not the peak; the true peak is 16113 MiB, so peak headroom is 271 MiB (0.26 GiB), not 1.05 GB, and plateau headroom is 1435 MiB. Rewrote PR3 Lane 4, V3 and the risk table with the measured pair instead of the single mislabeled number. Note this razor-thin peak headroom is consistent with the C=4 OOMs I hit earlier	/tmp/v3_mem_samples.txt; docs/sm70_npad_ar_chunk_landing_plan.md	ok
2026-09-15T14:05:00Z	blocked	V5 attempt OOM'd because a co-tenant arrived during weight load	nvidia-smi showed all four GPUs at 3 MiB when I launched, but by the OOM (gpuFree exhausted loading dims [1312,128,1,256] float16) GPU2/GPU3 held 10609/12301 MiB from pid 2236478. Same shared-box hazard as before: idle at the pre-flight check is necessary but not sufficient, because a co-tenant can start in the seconds between check and load. Not a code issue	/tmp/v5_8k_c1_qpn2on.log; nvidia-smi --query-compute-apps	blocked
2026-09-15T14:15:00Z	verify	V5 done: 8K C=1 QPN2-on shows 0 sidecar fallbacks (both strings) and reproduces 02c702ca	3 runs: 87.00 / 87.13 tok/s decode, prefill ~2570-2575, 0 "sidecar alloc failed" and 0 "sidecar conversion failed" lines, sha256 02c702ca... matches the anchor. The V5 detector (grep both fallback strings) works as designed	/tmp/v5b_8k_c1_qpn2on.log /tmp/v5c_8k_c1_rep2.log	ok
2026-09-15T14:18:00Z	fix	my benefit table's QPN2 numbers were measured BEFORE the Combine parallelization landed; both arms have since gained ~10%	the table says 8K C=1 79.47/65.29 and C=2 153.70/96.81, measured 08:59-09:17. The Combine parallelization commit debbf431 landed 10:35 (its .o at 10:30). Re-measuring both arms on the current binary (same build, 13:12): 8K C=1 87.00 on vs 70.34 off (+23.7%), 8K C=2 161.72 on vs 99.46 off (+62.6%). Both arms rose 8-10%, exactly the +10.0% the Combine row already records, and row 8 of sm70-longctx-kv.tsv independently has 87.37 vs 79.40 for combine at 8K. So the absolute numbers in the table are stale; the QPN2 ratio is roughly unchanged (+21.7% -> +23.7%, +58.8% -> +62.6%)	/tmp/v5off_8k_c1.log /tmp/v6on_8k_c2.log /tmp/v6off_8k_c2.log vs /tmp/qpn2on_repro_8k_c1.log /tmp/qpn2off_8k_c1.log	ok
2026-09-15T14:25:00Z	blocked	V4 (MTP path) not run this round: GPUs held by a co-tenant	pid 2382153 held 12.5 GB per card at 87-99% util while I was ready to run; per the standing rule (>1G means wait, do not squeeze in) V4 defers. Confirmed V4 IS testable on this model: model.safetensors.index.json has 15 mtp.* keys (mtp.fc.weight, mtp.layers.0.*), and the gate is FASTLLM_QWEN35_ENABLE_MTP (qwen3_5.cpp:739), with the chunk path gated on mtpDraftsPerStep == 0 && !schedulerUsesDFlash (qwen3_5.cpp:21394). So the run is: FASTLLM_QWEN35_ENABLE_MTP=1, MTP 8K C=2, expect banner WITHOUT "Long prefill chunk: on"	model.safetensors.index.json; src/models/qwen3_5.cpp:739,21394; nvidia-smi --query-compute-apps	blocked
2026-09-15T14:40:00Z	experiment	V4 is not runnable as written: FASTLLM_QWEN35_ENABLE_MTP=1 does NOT engage MTP in this benchmark path	ran MTP-on 8K C=2 twice. (a) graph on: hung for ~8 minutes at "warmup capture 2/3 batch=2" with all four GPUs pinned at 100% and the log static; killed it after confirming no new Xid and GPUs returned to 0. (b) graph off: completed, but printed "Long prefill chunk: on, size=2048" - and that gate requires mtpDraftsPerStep == 0, so MTP was NOT active. Zero "[Qwen3.5 MTP]" lines in either log (the code prints [Qwen3.5 MTP] at qwen3_5.cpp:9107/9514/9567 when it engages), and benchmark.py has no --mtp flag. So V4's premise ("run MTP 8K C=2") is unmet by this launcher; the run I did was effectively the no-MTP path with an unused env set	/tmp/v4_mtp_8k_c2.log /tmp/v4b_mtp_graphoff.log /tmp/v4c_mtp_8k_c2_graphon.log	open
2026-09-15T14:42:00Z	blocked	the graph-on hang could not be attributed this round	the hung run had less headroom (AutoWarmup free=3.23 GB, availForKV=0.95 GB) than my successful V5 run (free=4.36 GB, availForKV=1.93 GB), and two retries on contended GPUs OOM'd instead, so I cannot separate "genuine MTP-graph hang" from "too little headroom". Note the hang was at graph warmup capture, which runs BEFORE any C-unit chunk logic, and the banner never printed, so it is not on the chunking path - but I will not claim it is unrelated either, since the C unit did modify Qwen35MTPLoop. Needs a clean 4-GPU window to settle	/tmp/v4_mtp_8k_c2.log vs /tmp/v5b_8k_c1_qpn2on.log	blocked
2026-09-15T14:50:00Z	experiment	all three V4 attempts ran the no-MTP path; the env alone does not engage MTP	confirmed by counting MTP evidence lines in each log: v4_mtp_8k_c2.log 0, v4c (graph on) 0, v4b (graph off) 0. The code prints "[Qwen3.5 MTP] warmup: device=..." (qwen3_5.cpp:9514) when it engages, and "Qwen3.5 CUDA graph: MTP is enabled; capture batch 1 only..." (qwen3_5.cpp:10330) when graph+MTP. v4b additionally printed "Long prefill chunk: on", which the gate only allows when mtpDraftsPerStep == 0. So the graph-on hang happened on the no-MTP path too, which makes it more suspicious, not less - but it still needs a clean 4-GPU window to attribute	/tmp/v4_mtp_8k_c2.log /tmp/v4c_mtp_8k_c2_graphon.log /tmp/v4b_mtp_graphoff.log	open
2026-09-15T15:00:00Z	decide	best explanation for the graph-on hang is a co-tenant, not a code hang; recorded as such, not resolved	the hung run saw only free=3.23 GB at AutoWarmup vs free=4.36 GB in my successful V1 run on the identical shape (8K C=2, out=64, graph on) - a 1.13 GB difference, exactly the size of a small co-tenant, and the box had repeated co-tenant activity all shift. Two later retries OOM'd outright on contended GPUs. So the leading reading is memory starvation during graph capture, not a hang caused by the C unit. NOT proven: I will not claim the code is clean either, because the hang sat in Qwen35MTPLoop's graph-capture stage and the C unit edits that function. Settling it needs one clean 4-GPU window: rerun /tmp/v1_8k_c2_out64.sh style command with free >= 4.3 GB and watch whether capture completes	/tmp/v4_mtp_8k_c2.log (free=3.23 GB) vs /tmp/v1_8k_c2_out64.log (free=4.36 GB)	open
2026-09-15T15:10:00Z	fix	found why FASTLLM_QWEN35_ENABLE_MTP=1 did not engage MTP: the launcher overwrites it	benchmark.py imports make_normal_llm_model (benchmark.py:8) and calls it (benchmark.py:456). That function unconditionally does os.environ["FASTLLM_QWEN35_ENABLE_MTP"] = str(mtp) (util.py:1606), where mtp comes from argparse --mtp whose default is 0 (util.py:843). So exporting the env var by hand is silently clobbered back to "0". The working invocation is the CLI flag: --speculative_algorithm mtp --mtp N (util.py:1067-1091 requires N>0 or an external draft checkpoint). This closes V4's "how do I even enable MTP" blocker with a code-traced answer	tools/fastllm_pytools/benchmark.py:8,456; tools/fastllm_pytools/util.py:843,1067-1091,1606	ok
2026-09-15T15:15:00Z	verify	the corrected MTP invocation parses as intended (CPU-only, real parser)	loaded ftllm.util.make_normal_parser from the installed build and parsed two arg sets: ['/nonexistent','--mtp','1','--speculative_algorithm','mtp'] -> mtp=1, spec='mtp'; ['/nonexistent'] -> mtp=0, spec=''. So the flag path sets what the env path cannot, and the default is indeed 0 (which is what clobbered my export). No GPU needed for this check	build-sm70-tests/tools/ftllm/util.py make_normal_parser	ok
